2024-03-21 06:27:31,201 train batches in dataset: 25
2024-03-21 06:27:31,201 val batches in dataset: 4
2024-03-21 06:27:31,201 test batches in dataset: 4
2024-03-21 06:27:31,223 Trainable parameter: net_core.0.weight - size: torch.Size([256, 35])
2024-03-21 06:27:31,230 Trainable parameter: net_core.0.bias - size: torch.Size([256])
2024-03-21 06:27:31,239 Trainable parameter: net_core.1.weight - size: torch.Size([128, 256])
2024-03-21 06:27:31,248 Trainable parameter: net_core.1.bias - size: torch.Size([128])
2024-03-21 06:27:31,257 Trainable parameter: net_core.2.weight - size: torch.Size([64, 128])
2024-03-21 06:27:31,272 Trainable parameter: net_core.2.bias - size: torch.Size([64])
2024-03-21 06:27:31,283 Trainable parameter: net_core.3.weight - size: torch.Size([16, 64])
2024-03-21 06:27:31,284 Trainable parameter: net_core.3.bias - size: torch.Size([16])
2024-03-21 06:27:31,284 Trainable parameter: net_core.4.weight - size: torch.Size([1, 16])
2024-03-21 06:27:31,285 Trainable parameter: net_core.4.bias - size: torch.Size([1])
2024-03-21 06:27:31,285 Number of trainable parameters: 51425
2024-03-21 06:27:31,285 Number of non-trainable parameters: 0
2024-03-21 06:27:33,593 Epoch 1/300, Train Loss: 474.759305, Val Loss: 426.237900  
	Train = MSE:474.769135 , RMSE:21.789198 , MAE:20.431709 , MAPD:99.087941, R_squared:-7.218335  
	Validation = MSE:413.206940 , RMSE:20.327492 , MAE:18.916410 , MAPD:93.104604, R_squared:-6.435263

2024-03-21 06:27:36,136 Epoch 2/300, Train Loss: 411.524413, Val Loss: 382.157761  
	Train = MSE:411.517822 , RMSE:20.285902 , MAE:18.812874 , MAPD:90.052489, R_squared:-6.123444  
	Validation = MSE:369.620392 , RMSE:19.225513 , MAE:17.731934 , MAPD:86.457407, R_squared:-5.650965

2024-03-21 06:27:37,328 Epoch 3/300, Train Loss: 371.291016, Val Loss: 347.128593  
	Train = MSE:371.284882 , RMSE:19.268755 , MAE:17.720268 , MAPD:84.064989, R_squared:-5.427005  
	Validation = MSE:335.041107 , RMSE:18.304129 , MAE:16.733990 , MAPD:80.858074, R_squared:-5.028744

2024-03-21 06:27:38,521 Epoch 4/300, Train Loss: 335.603024, Val Loss: 310.861893  
	Train = MSE:335.608459 , RMSE:18.319620 , MAE:16.690382 , MAPD:78.408297, R_squared:-4.809440  
	Validation = MSE:299.234894 , RMSE:17.298407 , MAE:15.636639 , MAPD:74.713148, R_squared:-4.384445

2024-03-21 06:27:39,722 Epoch 5/300, Train Loss: 296.823821, Val Loss: 269.970558  
	Train = MSE:296.839935 , RMSE:17.229044 , MAE:15.497233 , MAPD:71.873865, R_squared:-4.138350  
	Validation = MSE:258.976532 , RMSE:16.092749 , MAE:14.310594 , MAPD:67.310958, R_squared:-3.660035

2024-03-21 06:27:40,925 Epoch 6/300, Train Loss: 252.805577, Val Loss: 224.260696  
	Train = MSE:252.802612 , RMSE:15.899768 , MAE:14.024141 , MAPD:63.816367, R_squared:-3.376056  
	Validation = MSE:214.049301 , RMSE:14.630424 , MAE:12.676072 , MAPD:58.206138, R_squared:-2.851612

2024-03-21 06:27:42,172 Epoch 7/300, Train Loss: 204.166835, Val Loss: 174.993484  
	Train = MSE:204.178040 , RMSE:14.289088 , MAE:12.207236 , MAPD:53.923575, R_squared:-2.534357  
	Validation = MSE:165.795532 , RMSE:12.876162 , MAE:10.666978 , MAPD:47.077019, R_squared:-1.983332

2024-03-21 06:27:43,445 Epoch 8/300, Train Loss: 153.699252, Val Loss: 126.659004  
	Train = MSE:153.703384 , RMSE:12.397717 , MAE:10.054047 , MAPD:42.519443, R_squared:-1.660632  
	Validation = MSE:118.684258 , RMSE:10.894231 , MAE:8.433713 , MAPD:35.487605, R_squared:-1.135610

2024-03-21 06:27:44,663 Epoch 9/300, Train Loss: 107.192887, Val Loss: 85.633419  
	Train = MSE:107.197037 , RMSE:10.353601 , MAE:7.879143 , MAPD:32.339978, R_squared:-0.855599  
	Validation = MSE:79.034149 , RMSE:8.890115 , MAE:6.445456 , MAPD:26.964538, R_squared:-0.422144

2024-03-21 06:27:45,854 Epoch 10/300, Train Loss: 71.830941, Val Loss: 59.574869  
	Train = MSE:71.839409 , RMSE:8.475813 , MAE:6.172721 , MAPD:26.177568, R_squared:-0.243552  
	Validation = MSE:54.318100 , RMSE:7.370081 , MAE:5.319664 , MAPD:24.294107, R_squared:0.022598

2024-03-21 06:27:47,022 Epoch 11/300, Train Loss: 51.936496, Val Loss: 48.060121  
	Train = MSE:51.937531 , RMSE:7.206770 , MAE:5.350947 , MAPD:25.108053, R_squared:0.100952  
	Validation = MSE:43.875278 , RMSE:6.623842 , MAE:5.114618 , MAPD:26.218592, R_squared:0.210506

2024-03-21 06:27:49,881 Epoch 12/300, Train Loss: 43.820168, Val Loss: 44.082593  
	Train = MSE:43.821579 , RMSE:6.619787 , MAE:5.213152 , MAPD:26.752226, R_squared:0.241441  
	Validation = MSE:40.584351 , RMSE:6.370585 , MAE:5.206980 , MAPD:28.427448, R_squared:0.269723

2024-03-21 06:27:51,067 Epoch 13/300, Train Loss: 40.941150, Val Loss: 42.105487  
	Train = MSE:40.941696 , RMSE:6.398570 , MAE:5.244360 , MAPD:28.158704, R_squared:0.291292  
	Validation = MSE:39.029366 , RMSE:6.247349 , MAE:5.244935 , MAPD:29.429325, R_squared:0.297704

2024-03-21 06:27:52,251 Epoch 14/300, Train Loss: 39.086780, Val Loss: 40.233079  
	Train = MSE:39.085865 , RMSE:6.251869 , MAE:5.201255 , MAPD:28.391067, R_squared:0.323417  
	Validation = MSE:37.395493 , RMSE:6.115185 , MAE:5.162986 , MAPD:29.152784, R_squared:0.327104

2024-03-21 06:27:53,422 Epoch 15/300, Train Loss: 37.319094, Val Loss: 38.221602  
	Train = MSE:37.321091 , RMSE:6.109099 , MAE:5.108671 , MAPD:28.080061, R_squared:0.353966  
	Validation = MSE:35.597382 , RMSE:5.966354 , MAE:5.046390 , MAPD:28.569288, R_squared:0.359459

2024-03-21 06:27:54,598 Epoch 16/300, Train Loss: 35.436990, Val Loss: 36.214107  
	Train = MSE:35.436199 , RMSE:5.952831 , MAE:4.992947 , MAPD:27.536181, R_squared:0.386593  
	Validation = MSE:33.711460 , RMSE:5.806157 , MAE:4.869582 , MAPD:27.339604, R_squared:0.393395

2024-03-21 06:27:56,044 Epoch 17/300, Train Loss: 33.285135, Val Loss: 33.439195  
	Train = MSE:33.283207 , RMSE:5.769160 , MAE:4.807853 , MAPD:26.371084, R_squared:0.423862  
	Validation = MSE:31.228628 , RMSE:5.588258 , MAE:4.706820 , MAPD:26.573124, R_squared:0.438071

2024-03-21 06:27:57,330 Epoch 18/300, Train Loss: 30.859441, Val Loss: 31.144710  
	Train = MSE:30.859552 , RMSE:5.555138 , MAE:4.638613 , MAPD:25.537143, R_squared:0.465816  
	Validation = MSE:29.185102 , RMSE:5.402324 , MAE:4.579173 , MAPD:26.055786, R_squared:0.474842

2024-03-21 06:27:58,532 Epoch 19/300, Train Loss: 28.662425, Val Loss: 28.827949  
	Train = MSE:28.662233 , RMSE:5.353712 , MAE:4.486657 , MAPD:24.845368, R_squared:0.503852  
	Validation = MSE:27.099287 , RMSE:5.205698 , MAE:4.429074 , MAPD:25.347611, R_squared:0.512374

2024-03-21 06:27:59,710 Epoch 20/300, Train Loss: 26.397972, Val Loss: 26.436129  
	Train = MSE:26.397308 , RMSE:5.137831 , MAE:4.296922 , MAPD:23.792808, R_squared:0.543058  
	Validation = MSE:24.933968 , RMSE:4.993392 , MAE:4.255862 , MAPD:24.450037, R_squared:0.551337

2024-03-21 06:28:00,914 Epoch 21/300, Train Loss: 24.086003, Val Loss: 23.841121  
	Train = MSE:24.087267 , RMSE:4.907878 , MAE:4.113326 , MAPD:22.892419, R_squared:0.583045  
	Validation = MSE:22.571508 , RMSE:4.750948 , MAE:4.052691 , MAPD:23.374441, R_squared:0.593847

2024-03-21 06:28:03,457 Epoch 22/300, Train Loss: 21.610615, Val Loss: 20.863483  
	Train = MSE:21.610004 , RMSE:4.648656 , MAE:3.899232 , MAPD:21.815815, R_squared:0.625927  
	Validation = MSE:19.785887 , RMSE:4.448133 , MAE:3.764412 , MAPD:21.612897, R_squared:0.643972

2024-03-21 06:28:04,630 Epoch 23/300, Train Loss: 18.844370, Val Loss: 18.145867  
	Train = MSE:18.844898 , RMSE:4.341071 , MAE:3.622428 , MAPD:20.233076, R_squared:0.673792  
