2024-03-21 06:15:09,010 train batches in dataset: 50
2024-03-21 06:15:09,011 val batches in dataset: 7
2024-03-21 06:15:09,011 test batches in dataset: 7
2024-03-21 06:15:09,027 Trainable parameter: net_core.0.weight - size: torch.Size([256, 35])
2024-03-21 06:15:09,030 Trainable parameter: net_core.0.bias - size: torch.Size([256])
2024-03-21 06:15:09,035 Trainable parameter: net_core.1.weight - size: torch.Size([128, 256])
2024-03-21 06:15:09,040 Trainable parameter: net_core.1.bias - size: torch.Size([128])
2024-03-21 06:15:09,044 Trainable parameter: net_core.2.weight - size: torch.Size([64, 128])
2024-03-21 06:15:09,051 Trainable parameter: net_core.2.bias - size: torch.Size([64])
2024-03-21 06:15:09,056 Trainable parameter: net_core.3.weight - size: torch.Size([16, 64])
2024-03-21 06:15:09,057 Trainable parameter: net_core.3.bias - size: torch.Size([16])
2024-03-21 06:15:09,057 Trainable parameter: net_core.4.weight - size: torch.Size([1, 16])
2024-03-21 06:15:09,057 Trainable parameter: net_core.4.bias - size: torch.Size([1])
2024-03-21 06:15:09,058 Number of trainable parameters: 51425
2024-03-21 06:15:09,058 Number of non-trainable parameters: 0
2024-03-21 06:15:13,095 Epoch 1/300, Train Loss: 443.091913, Val Loss: 375.957206  
	Train = MSE:443.090027 , RMSE:21.049704 , MAE:19.627466 , MAPD:94.637461, R_squared:-6.669964  
	Validation = MSE:369.817413 , RMSE:19.230637 , MAE:17.736183 , MAPD:86.476209, R_squared:-5.654511

2024-03-21 06:15:17,217 Epoch 2/300, Train Loss: 353.887701, Val Loss: 305.483521  
	Train = MSE:353.892731 , RMSE:18.812037 , MAE:17.217037 , MAPD:81.280520, R_squared:-5.125943  
	Validation = MSE:299.783142 , RMSE:17.314247 , MAE:15.653412 , MAPD:74.805207, R_squared:-4.394311

2024-03-21 06:15:20,036 Epoch 3/300, Train Loss: 275.352484, Val Loss: 219.975682  
	Train = MSE:275.348541 , RMSE:16.593630 , MAE:14.784582 , MAPD:67.997463, R_squared:-3.766330  
	Validation = MSE:214.964767 , RMSE:14.661676 , MAE:12.708848 , MAPD:58.380561, R_squared:-2.868085

2024-03-21 06:15:23,160 Epoch 4/300, Train Loss: 179.938700, Val Loss: 123.976271  
	Train = MSE:179.956512 , RMSE:13.414787 , MAE:11.197957 , MAPD:48.650676, R_squared:-2.115078  
	Validation = MSE:120.045609 , RMSE:10.956532 , MAE:8.496210 , MAPD:35.782379, R_squared:-1.160106

2024-03-21 06:15:25,764 Epoch 5/300, Train Loss: 90.427723, Val Loss: 57.891990  
	Train = MSE:90.443214 , RMSE:9.510163 , MAE:7.070807 , MAPD:29.377417, R_squared:-0.565587  
	Validation = MSE:55.277733 , RMSE:7.434900 , MAE:5.360768 , MAPD:24.373744, R_squared:0.005330

2024-03-21 06:15:28,768 Epoch 6/300, Train Loss: 48.455364, Val Loss: 42.755161  
	Train = MSE:48.454155 , RMSE:6.960902 , MAE:5.320795 , MAPD:26.086818, R_squared:0.161250  
	Validation = MSE:41.009228 , RMSE:6.403845 , MAE:5.227283 , MAPD:28.503716, R_squared:0.262078

2024-03-21 06:15:32,358 Epoch 7/300, Train Loss: 40.407522, Val Loss: 38.922648  
	Train = MSE:40.408768 , RMSE:6.356789 , MAE:5.235890 , MAPD:28.278819, R_squared:0.300517  
	Validation = MSE:37.500694 , RMSE:6.123781 , MAE:5.145062 , MAPD:28.909606, R_squared:0.325211

2024-03-21 06:15:34,998 Epoch 8/300, Train Loss: 36.449757, Val Loss: 34.805432  
	Train = MSE:36.450905 , RMSE:6.037458 , MAE:5.025493 , MAPD:27.507581, R_squared:0.369029  
	Validation = MSE:33.619556 , RMSE:5.798237 , MAE:4.905440 , MAPD:27.804271, R_squared:0.395048

2024-03-21 06:15:37,631 Epoch 9/300, Train Loss: 32.251595, Val Loss: 30.424420  
	Train = MSE:32.251167 , RMSE:5.679011 , MAE:4.761254 , MAPD:26.315042, R_squared:0.441727  
	Validation = MSE:29.441013 , RMSE:5.425957 , MAE:4.581147 , MAPD:25.960465, R_squared:0.470237

2024-03-21 06:15:40,243 Epoch 10/300, Train Loss: 27.923967, Val Loss: 25.944994  
	Train = MSE:27.924068 , RMSE:5.284323 , MAE:4.428874 , MAPD:24.556231, R_squared:0.516630  
	Validation = MSE:25.165781 , RMSE:5.016551 , MAE:4.239550 , MAPD:24.129368, R_squared:0.547166

2024-03-21 06:15:42,881 Epoch 11/300, Train Loss: 23.356745, Val Loss: 21.042009  
	Train = MSE:23.357113 , RMSE:4.832920 , MAE:4.043053 , MAPD:22.498432, R_squared:0.595684  
	Validation = MSE:20.482920 , RMSE:4.525806 , MAE:3.829610 , MAPD:21.961911, R_squared:0.631429

2024-03-21 06:15:46,724 Epoch 12/300, Train Loss: 18.422990, Val Loss: 16.177943  
	Train = MSE:18.424238 , RMSE:4.292346 , MAE:3.575619 , MAPD:19.994243, R_squared:0.681073  
	Validation = MSE:15.835505 , RMSE:3.979385 , MAE:3.386990 , MAPD:19.768039, R_squared:0.715055

2024-03-21 06:15:49,402 Epoch 13/300, Train Loss: 13.653214, Val Loss: 11.557495  
	Train = MSE:13.653798 , RMSE:3.695105 , MAE:3.068013 , MAPD:17.344878, R_squared:0.763650  
	Validation = MSE:11.396526 , RMSE:3.375874 , MAE:2.864302 , MAPD:17.042961, R_squared:0.794930

2024-03-21 06:15:52,035 Epoch 14/300, Train Loss: 9.322850, Val Loss: 7.449798  
	Train = MSE:9.323073 , RMSE:3.053371 , MAE:2.514063 , MAPD:14.403616, R_squared:0.838616  
	Validation = MSE:7.395894 , RMSE:2.719539 , MAE:2.256232 , MAPD:13.328169, R_squared:0.866918

2024-03-21 06:15:54,674 Epoch 15/300, Train Loss: 6.051898, Val Loss: 4.780254  
	Train = MSE:6.052517 , RMSE:2.460186 , MAE:1.996206 , MAPD:11.635660, R_squared:0.895230  
	Validation = MSE:4.797915 , RMSE:2.190414 , MAE:1.781687 , MAPD:11.045964, R_squared:0.913666

2024-03-21 06:15:57,315 Epoch 16/300, Train Loss: 3.841505, Val Loss: 3.064747  
	Train = MSE:3.841344 , RMSE:1.959935 , MAE:1.574793 , MAPD:9.369821, R_squared:0.933506  
	Validation = MSE:3.096166 , RMSE:1.759592 , MAE:1.393289 , MAPD:8.311200, R_squared:0.944287

2024-03-21 06:15:59,957 Epoch 17/300, Train Loss: 2.641411, Val Loss: 2.181097  
	Train = MSE:2.641445 , RMSE:1.625252 , MAE:1.295694 , MAPD:7.737544, R_squared:0.954276  
	Validation = MSE:2.215980 , RMSE:1.488617 , MAE:1.167551 , MAPD:7.136353, R_squared:0.960126

2024-03-21 06:16:02,615 Epoch 18/300, Train Loss: 2.020075, Val Loss: 1.712548  
	Train = MSE:2.020115 , RMSE:1.421307 , MAE:1.133175 , MAPD:6.706819, R_squared:0.965031  
	Validation = MSE:1.749887 , RMSE:1.322833 , MAE:1.042922 , MAPD:6.250267, R_squared:0.968512

2024-03-21 06:16:05,234 Epoch 19/300, Train Loss: 1.675272, Val Loss: 1.409612  
	Train = MSE:1.675440 , RMSE:1.294388 , MAE:1.035580 , MAPD:6.021038, R_squared:0.970998  
	Validation = MSE:1.455495 , RMSE:1.206439 , MAE:0.961352 , MAPD:5.708607, R_squared:0.973810

2024-03-21 06:16:08,057 Epoch 20/300, Train Loss: 1.442473, Val Loss: 1.213000  
	Train = MSE:1.442464 , RMSE:1.201026 , MAE:0.960802 , MAPD:5.535593, R_squared:0.975031  
	Validation = MSE:1.257651 , RMSE:1.121451 , MAE:0.899750 , MAPD:5.250867, R_squared:0.977370

2024-03-21 06:16:10,651 Epoch 21/300, Train Loss: 1.278510, Val Loss: 1.066049  
	Train = MSE:1.278559 , RMSE:1.130734 , MAE:0.904927 , MAPD:5.159891, R_squared:0.977868  
	Validation = MSE:1.106824 , RMSE:1.052057 , MAE:0.845681 , MAPD:4.871092, R_squared:0.980084

2024-03-21 06:16:14,701 Epoch 22/300, Train Loss: 1.147859, Val Loss: 0.942950  
	Train = MSE:1.147891 , RMSE:1.071397 , MAE:0.855869 , MAPD:4.835601, R_squared:0.980130  
	Validation = MSE:0.982826 , RMSE:0.991376 , MAE:0.797601 , MAPD:4.573439, R_squared:0.982315

2024-03-21 06:16:17,357 Epoch 23/300, Train Loss: 1.044419, Val Loss: 0.851115  
	Train = MSE:1.044396 , RMSE:1.021957 , MAE:0.816675 , MAPD:4.563811, R_squared:0.981921  
	Validation = MSE:0.887196 , RMSE:0.941911 , MAE:0.757507 , MAPD:4.323591, R_squared:0.984036

2024-03-21 06:16:20,394 Epoch 24/300, Train Loss: 0.956349, Val Loss: 0.778750  
	Train = MSE:0.956374 , RMSE:0.977944 , MAE:0.780580 , MAPD:4.331777, R_squared:0.983445  
	Validation = MSE:0.812287 , RMSE:0.901270 , MAE:0.724615 , MAPD:4.081888, R_squared:0.985384

2024-03-21 06:16:23,137 Epoch 25/300, Train Loss: 0.880323, Val Loss: 0.714069  
	Train = MSE:0.880331 , RMSE:0.938260 , MAE:0.746331 , MAPD:4.107140, R_squared:0.984761  
	Validation = MSE:0.743239 , RMSE:0.862113 , MAE:0.692782 , MAPD:3.865552, R_squared:0.986626

2024-03-21 06:16:25,811 Epoch 26/300, Train Loss: 0.811777, Val Loss: 0.661625  
	Train = MSE:0.811703 , RMSE:0.900946 , MAE:0.714193 , MAPD:3.923384, R_squared:0.985949  
	Validation = MSE:0.687062 , RMSE:0.828892 , MAE:0.664847 , MAPD:3.676076, R_squared:0.987637

2024-03-21 06:16:28,468 Epoch 27/300, Train Loss: 0.750268, Val Loss: 0.606767  
	Train = MSE:0.750265 , RMSE:0.866178 , MAE:0.684672 , MAPD:3.729368, R_squared:0.987013  
	Validation = MSE:0.631763 , RMSE:0.794835 , MAE:0.640751 , MAPD:3.631573, R_squared:0.988632

2024-03-21 06:16:31,125 Epoch 28/300, Train Loss: 0.692684, Val Loss: 0.567537  
	Train = MSE:0.692690 , RMSE:0.832280 , MAE:0.656966 , MAPD:3.569352, R_squared:0.988009  
	Validation = MSE:0.586265 , RMSE:0.765680 , MAE:0.610721 , MAPD:3.350390, R_squared:0.989451

2024-03-21 06:16:33,749 Epoch 29/300, Train Loss: 0.644014, Val Loss: 0.524480  
	Train = MSE:0.644042 , RMSE:0.802522 , MAE:0.630435 , MAPD:3.404034, R_squared:0.988852  
	Validation = MSE:0.543102 , RMSE:0.736955 , MAE:0.587275 , MAPD:3.216026, R_squared:0.990227

2024-03-21 06:16:36,382 Epoch 30/300, Train Loss: 0.600248, Val Loss: 0.482647  
	Train = MSE:0.600252 , RMSE:0.774759 , MAE:0.608642 , MAPD:3.282844, R_squared:0.989610  
	Validation = MSE:0.497971 , RMSE:0.705670 , MAE:0.563262 , MAPD:3.134742, R_squared:0.991039

2024-03-21 06:16:39,004 Epoch 31/300, Train Loss: 0.553182, Val Loss: 0.458585  
	Train = MSE:0.553189 , RMSE:0.743767 , MAE:0.580949 , MAPD:3.110413, R_squared:0.990424  
	Validation = MSE:0.471394 , RMSE:0.686581 , MAE:0.542588 , MAPD:2.926086, R_squared:0.991518

2024-03-21 06:16:42,849 Epoch 32/300, Train Loss: 0.508552, Val Loss: 0.406916  
	Train = MSE:0.508518 , RMSE:0.713104 , MAE:0.553920 , MAPD:2.952266, R_squared:0.991197  
	Validation = MSE:0.418406 , RMSE:0.646843 , MAE:0.511132 , MAPD:2.782911, R_squared:0.992471

2024-03-21 06:16:45,500 Epoch 33/300, Train Loss: 0.465148, Val Loss: 0.381020  
	Train = MSE:0.465125 , RMSE:0.682001 , MAE:0.529068 , MAPD:2.811653, R_squared:0.991949  
	Validation = MSE:0.393865 , RMSE:0.627587 , MAE:0.494063 , MAPD:2.668449, R_squared:0.992913

2024-03-21 06:16:49,008 Epoch 34/300, Train Loss: 0.429335, Val Loss: 0.345888  
	Train = MSE:0.429379 , RMSE:0.655270 , MAE:0.505204 , MAPD:2.680766, R_squared:0.992567  
	Validation = MSE:0.355225 , RMSE:0.596008 , MAE:0.467976 , MAPD:2.547530, R_squared:0.993608

2024-03-21 06:16:51,791 Epoch 35/300, Train Loss: 0.396761, Val Loss: 0.323541  
	Train = MSE:0.396758 , RMSE:0.629887 , MAE:0.483458 , MAPD:2.560062, R_squared:0.993132  
	Validation = MSE:0.335276 , RMSE:0.579031 , MAE:0.452532 , MAPD:2.447300, R_squared:0.993967

2024-03-21 06:16:54,414 Epoch 36/300, Train Loss: 0.362677, Val Loss: 0.298356  
	Train = MSE:0.362665 , RMSE:0.602217 , MAE:0.459228 , MAPD:2.423318, R_squared:0.993722  
	Validation = MSE:0.307111 , RMSE:0.554176 , MAE:0.431528 , MAPD:2.330078, R_squared:0.994474

2024-03-21 06:16:57,059 Epoch 37/300, Train Loss: 0.336515, Val Loss: 0.281175  
	Train = MSE:0.336409 , RMSE:0.580008 , MAE:0.441084 , MAPD:2.325092, R_squared:0.994177  
	Validation = MSE:0.288912 , RMSE:0.537506 , MAE:0.417233 , MAPD:2.249363, R_squared:0.994801

