2024-03-21 03:39:34,097 train batches in dataset: 7
2024-03-21 03:39:34,097 val batches in dataset: 1
2024-03-21 03:39:34,098 test batches in dataset: 1
2024-03-21 03:39:34,114 Trainable parameter: net_core.0.weight - size: torch.Size([256, 35])
2024-03-21 03:39:34,114 Trainable parameter: net_core.0.bias - size: torch.Size([256])
2024-03-21 03:39:34,114 Trainable parameter: net_core.1.weight - size: torch.Size([128, 256])
2024-03-21 03:39:34,115 Trainable parameter: net_core.1.bias - size: torch.Size([128])
2024-03-21 03:39:34,115 Trainable parameter: net_core.2.weight - size: torch.Size([64, 128])
2024-03-21 03:39:34,116 Trainable parameter: net_core.2.bias - size: torch.Size([64])
2024-03-21 03:39:34,118 Trainable parameter: net_core.3.weight - size: torch.Size([16, 64])
2024-03-21 03:39:34,319 Trainable parameter: net_core.3.bias - size: torch.Size([16])
2024-03-21 03:39:34,323 Trainable parameter: net_core.4.weight - size: torch.Size([1, 16])
2024-03-21 03:39:34,328 Trainable parameter: net_core.4.bias - size: torch.Size([1])
2024-03-21 03:39:34,342 Number of trainable parameters: 51425
2024-03-21 03:39:34,342 Number of non-trainable parameters: 0
2024-03-21 03:39:38,659 Epoch 1/300, Train Loss: 1712421665.398760, Val Loss: 485.449921  
	Train = MSE:1918511616.000000 , RMSE:43800.816406 , MAE:17334.777344 , MAPD:93098.488013, R_squared:-33209763.756246  
	Validation = MSE:485.450012 , RMSE:22.032930 , MAE:20.733452 , MAPD:103.306985, R_squared:-7.735208

2024-03-21 03:39:41,802 Epoch 2/300, Train Loss: 531.145848, Val Loss: 513.914551  
	Train = MSE:524.994385 , RMSE:22.912756 , MAE:21.618439 , MAPD:105.550835, R_squared:-8.087743  
	Validation = MSE:513.914551 , RMSE:22.669683 , MAE:21.408892 , MAPD:107.109739, R_squared:-8.247401

2024-03-21 03:39:44,261 Epoch 3/300, Train Loss: 548.330331, Val Loss: 528.104919  
	Train = MSE:542.975220 , RMSE:23.301828 , MAE:22.026625 , MAPD:107.753383, R_squared:-8.398994  
	Validation = MSE:528.104919 , RMSE:22.980534 , MAE:21.737778 , MAPD:108.961383, R_squared:-8.502742

2024-03-21 03:39:45,488 Epoch 4/300, Train Loss: 554.848188, Val Loss: 535.419556  
	Train = MSE:554.421753 , RMSE:23.546162 , MAE:22.285309 , MAPD:109.182492, R_squared:-8.597135  
	Validation = MSE:535.419617 , RMSE:23.139135 , MAE:21.905380 , MAPD:109.904993, R_squared:-8.634363

2024-03-21 03:39:46,859 Epoch 5/300, Train Loss: 555.693787, Val Loss: 539.153503  
	Train = MSE:560.306885 , RMSE:23.670803 , MAE:22.417278 , MAPD:109.911864, R_squared:-8.699008  
	Validation = MSE:539.153503 , RMSE:23.219679 , MAE:21.990442 , MAPD:110.383896, R_squared:-8.701551

2024-03-21 03:39:48,386 Epoch 6/300, Train Loss: 569.194807, Val Loss: 540.991760  
	Train = MSE:563.285950 , RMSE:23.733646 , MAE:22.483685 , MAPD:110.278575, R_squared:-8.750575  
	Validation = MSE:540.991821 , RMSE:23.259232 , MAE:22.032202 , MAPD:110.618995, R_squared:-8.734629

2024-03-21 03:39:49,909 Epoch 7/300, Train Loss: 562.496530, Val Loss: 541.825623  
	Train = MSE:564.721802 , RMSE:23.763876 , MAE:22.515600 , MAPD:110.454666, R_squared:-8.775431  
	Validation = MSE:541.825562 , RMSE:23.277147 , MAE:22.051113 , MAPD:110.725487, R_squared:-8.749633

2024-03-21 03:39:51,180 Epoch 8/300, Train Loss: 568.973328, Val Loss: 542.129333  
	Train = MSE:565.341187 , RMSE:23.776905 , MAE:22.529337 , MAPD:110.530327, R_squared:-8.786153  
	Validation = MSE:542.129333 , RMSE:23.283670 , MAE:22.058002 , MAPD:110.764254, R_squared:-8.755098

2024-03-21 03:39:52,729 Epoch 9/300, Train Loss: 566.633571, Val Loss: 542.151184  
	Train = MSE:565.526733 , RMSE:23.780806 , MAE:22.533472 , MAPD:110.553280, R_squared:-8.789364  
	Validation = MSE:542.151184 , RMSE:23.284140 , MAE:22.058496 , MAPD:110.767035, R_squared:-8.755491

2024-03-21 03:39:56,200 Epoch 10/300, Train Loss: 558.619520, Val Loss: 542.022583  
	Train = MSE:565.483582 , RMSE:23.779900 , MAE:22.532505 , MAPD:110.547876, R_squared:-8.788617  
	Validation = MSE:542.022583 , RMSE:23.281378 , MAE:22.055580 , MAPD:110.750627, R_squared:-8.753177

2024-03-21 03:39:58,328 Epoch 11/300, Train Loss: 567.989903, Val Loss: 541.811829  
	Train = MSE:565.316528 , RMSE:23.776386 , MAE:22.528797 , MAPD:110.527471, R_squared:-8.785725  
	Validation = MSE:541.811768 , RMSE:23.276850 , MAE:22.050800 , MAPD:110.723727, R_squared:-8.749385

2024-03-21 03:40:00,948 Epoch 12/300, Train Loss: 564.136300, Val Loss: 541.552490  
	Train = MSE:565.079651 , RMSE:23.771404 , MAE:22.523560 , MAPD:110.498681, R_squared:-8.781625  
	Validation = MSE:541.552490 , RMSE:23.271280 , MAE:22.044922 , MAPD:110.690617, R_squared:-8.744719

2024-03-21 03:40:02,179 Epoch 13/300, Train Loss: 564.708452, Val Loss: 541.262451  
