2024-03-21 05:06:27,804 train batches in dataset: 50
2024-03-21 05:06:27,804 val batches in dataset: 7
2024-03-21 05:06:27,804 test batches in dataset: 7
2024-03-21 05:06:27,826 Trainable parameter: net_core.0.weight - size: torch.Size([256, 35])
2024-03-21 05:06:27,836 Trainable parameter: net_core.0.bias - size: torch.Size([256])
2024-03-21 05:06:27,846 Trainable parameter: net_core.1.weight - size: torch.Size([128, 256])
2024-03-21 05:06:27,860 Trainable parameter: net_core.1.bias - size: torch.Size([128])
2024-03-21 05:06:27,873 Trainable parameter: net_core.2.weight - size: torch.Size([64, 128])
2024-03-21 05:06:27,882 Trainable parameter: net_core.2.bias - size: torch.Size([64])
2024-03-21 05:06:27,889 Trainable parameter: net_core.3.weight - size: torch.Size([16, 64])
2024-03-21 05:06:27,890 Trainable parameter: net_core.3.bias - size: torch.Size([16])
2024-03-21 05:06:27,890 Trainable parameter: net_core.4.weight - size: torch.Size([1, 16])
2024-03-21 05:06:27,890 Trainable parameter: net_core.4.bias - size: torch.Size([1])
2024-03-21 05:06:27,891 Number of trainable parameters: 51425
2024-03-21 05:06:27,891 Number of non-trainable parameters: 0
2024-03-21 05:06:38,759 Epoch 1/300, Train Loss: 69.380658, Val Loss: 4.037191  
	Train = MSE:69.401436 , RMSE:8.330752 , MAE:5.760705 , MAPD:30.660477, R_squared:-0.201351  
	Validation = MSE:3.898838 , RMSE:1.974548 , MAE:1.540468 , MAPD:9.662352, R_squared:0.929844

2024-03-21 05:06:50,258 Epoch 2/300, Train Loss: 2.270920, Val Loss: 1.219529  
	Train = MSE:2.271164 , RMSE:1.507038 , MAE:1.205132 , MAPD:6.750030, R_squared:0.960686  
	Validation = MSE:1.266066 , RMSE:1.125196 , MAE:0.946120 , MAPD:5.222618, R_squared:0.977218

2024-03-21 05:07:00,819 Epoch 3/300, Train Loss: 0.758807, Val Loss: 0.299931  
	Train = MSE:0.758944 , RMSE:0.871174 , MAE:0.682128 , MAPD:3.774188, R_squared:0.986863  
	Validation = MSE:0.306523 , RMSE:0.553645 , MAE:0.440266 , MAPD:2.413918, R_squared:0.994484

2024-03-21 05:07:14,361 Epoch 4/300, Train Loss: 0.299559, Val Loss: 0.232317  
	Train = MSE:0.299606 , RMSE:0.547363 , MAE:0.424301 , MAPD:2.222588, R_squared:0.994814  
	Validation = MSE:0.221109 , RMSE:0.470223 , MAE:0.358171 , MAPD:1.984174, R_squared:0.996021

2024-03-21 05:07:24,323 Epoch 5/300, Train Loss: 0.184253, Val Loss: 0.133218  
	Train = MSE:0.184265 , RMSE:0.429261 , MAE:0.323554 , MAPD:1.699575, R_squared:0.996810  
	Validation = MSE:0.136012 , RMSE:0.368798 , MAE:0.273915 , MAPD:1.519156, R_squared:0.997553

2024-03-21 05:07:32,524 Epoch 6/300, Train Loss: 0.148306, Val Loss: 0.152295  
	Train = MSE:0.148316 , RMSE:0.385118 , MAE:0.288900 , MAPD:1.521874, R_squared:0.997433  
	Validation = MSE:0.148935 , RMSE:0.385921 , MAE:0.297150 , MAPD:1.613837, R_squared:0.997320

2024-03-21 05:07:42,090 Epoch 7/300, Train Loss: 0.157359, Val Loss: 0.108095  
	Train = MSE:0.157357 , RMSE:0.396682 , MAE:0.291688 , MAPD:1.520488, R_squared:0.997276  
	Validation = MSE:0.112890 , RMSE:0.335990 , MAE:0.250093 , MAPD:1.420237, R_squared:0.997969

2024-03-21 05:07:52,462 Epoch 8/300, Train Loss: 0.106802, Val Loss: 0.110351  
	Train = MSE:0.106801 , RMSE:0.326804 , MAE:0.241506 , MAPD:1.286085, R_squared:0.998151  
	Validation = MSE:0.112746 , RMSE:0.335777 , MAE:0.262311 , MAPD:1.488412, R_squared:0.997971

2024-03-21 05:08:04,155 Epoch 9/300, Train Loss: 0.104819, Val Loss: 0.104264  
	Train = MSE:0.104808 , RMSE:0.323741 , MAE:0.238050 , MAPD:1.275645, R_squared:0.998186  
	Validation = MSE:0.107994 , RMSE:0.328624 , MAE:0.233979 , MAPD:1.268882, R_squared:0.998057

2024-03-21 05:08:16,355 Epoch 10/300, Train Loss: 0.104014, Val Loss: 0.077122  
	Train = MSE:0.104021 , RMSE:0.322523 , MAE:0.236932 , MAPD:1.247472, R_squared:0.998199  
	Validation = MSE:0.080867 , RMSE:0.284371 , MAE:0.206104 , MAPD:1.163245, R_squared:0.998545

2024-03-21 05:08:25,458 Epoch 11/300, Train Loss: 0.166108, Val Loss: 0.148838  
	Train = MSE:0.166114 , RMSE:0.407570 , MAE:0.299573 , MAPD:1.525842, R_squared:0.997125  
	Validation = MSE:0.154566 , RMSE:0.393149 , MAE:0.300540 , MAPD:1.538790, R_squared:0.997219

2024-03-21 05:08:37,125 Epoch 12/300, Train Loss: 0.106688, Val Loss: 0.089765  
	Train = MSE:0.106693 , RMSE:0.326639 , MAE:0.245839 , MAPD:1.293224, R_squared:0.998153  
	Validation = MSE:0.094236 , RMSE:0.306979 , MAE:0.221773 , MAPD:1.189709, R_squared:0.998304

2024-03-21 05:08:46,209 Epoch 13/300, Train Loss: 0.091366, Val Loss: 0.067837  
	Train = MSE:0.091375 , RMSE:0.302284 , MAE:0.221631 , MAPD:1.160674, R_squared:0.998418  
	Validation = MSE:0.072017 , RMSE:0.268360 , MAE:0.184951 , MAPD:1.033875, R_squared:0.998704

2024-03-21 05:08:55,885 Epoch 14/300, Train Loss: 0.095170, Val Loss: 0.081768  
	Train = MSE:0.095178 , RMSE:0.308509 , MAE:0.228159 , MAPD:1.198472, R_squared:0.998352  
	Validation = MSE:0.083701 , RMSE:0.289311 , MAE:0.225437 , MAPD:1.261624, R_squared:0.998494

2024-03-21 05:09:04,881 Epoch 15/300, Train Loss: 0.071899, Val Loss: 0.061305  
	Train = MSE:0.071910 , RMSE:0.268161 , MAE:0.198000 , MAPD:1.047367, R_squared:0.998755  
	Validation = MSE:0.064911 , RMSE:0.254776 , MAE:0.173353 , MAPD:0.965500, R_squared:0.998832

2024-03-21 05:09:15,296 Epoch 16/300, Train Loss: 0.209979, Val Loss: 0.931659  
	Train = MSE:0.209787 , RMSE:0.458025 , MAE:0.328122 , MAPD:1.674776, R_squared:0.996369  
	Validation = MSE:0.940629 , RMSE:0.969860 , MAE:0.927799 , MAPD:4.942937, R_squared:0.983074

2024-03-21 05:09:24,606 Epoch 17/300, Train Loss: 0.218859, Val Loss: 0.083928  
	Train = MSE:0.218877 , RMSE:0.467843 , MAE:0.359706 , MAPD:1.831577, R_squared:0.996211  
	Validation = MSE:0.088578 , RMSE:0.297621 , MAE:0.209510 , MAPD:1.079539, R_squared:0.998406

2024-03-21 05:09:33,521 Epoch 18/300, Train Loss: 0.082274, Val Loss: 0.151826  
	Train = MSE:0.082255 , RMSE:0.286801 , MAE:0.214209 , MAPD:1.124863, R_squared:0.998576  
	Validation = MSE:0.151893 , RMSE:0.389735 , MAE:0.348090 , MAPD:1.973563, R_squared:0.997267

2024-03-21 05:09:43,183 Epoch 19/300, Train Loss: 0.116648, Val Loss: 0.093967  
	Train = MSE:0.116620 , RMSE:0.341497 , MAE:0.266758 , MAPD:1.375824, R_squared:0.997981  
