2024-03-21 05:08:23,637 train batches in dataset: 7
2024-03-21 05:08:23,638 val batches in dataset: 1
2024-03-21 05:08:23,638 test batches in dataset: 1
2024-03-21 05:08:23,658 Trainable parameter: net_core.0.weight - size: torch.Size([256, 35])
2024-03-21 05:08:23,665 Trainable parameter: net_core.0.bias - size: torch.Size([256])
2024-03-21 05:08:23,670 Trainable parameter: net_core.1.weight - size: torch.Size([128, 256])
2024-03-21 05:08:23,678 Trainable parameter: net_core.1.bias - size: torch.Size([128])
2024-03-21 05:08:23,685 Trainable parameter: net_core.2.weight - size: torch.Size([64, 128])
2024-03-21 05:08:23,693 Trainable parameter: net_core.2.bias - size: torch.Size([64])
2024-03-21 05:08:23,701 Trainable parameter: net_core.3.weight - size: torch.Size([16, 64])
2024-03-21 05:08:23,702 Trainable parameter: net_core.3.bias - size: torch.Size([16])
2024-03-21 05:08:23,702 Trainable parameter: net_core.4.weight - size: torch.Size([1, 16])
2024-03-21 05:08:23,703 Trainable parameter: net_core.4.bias - size: torch.Size([1])
2024-03-21 05:08:23,703 Number of trainable parameters: 51425
2024-03-21 05:08:23,703 Number of non-trainable parameters: 0
2024-03-21 05:08:27,438 Epoch 1/300, Train Loss: 306.570232, Val Loss: 63.694977  
	Train = MSE:328.440887 , RMSE:18.122938 , MAE:16.144360 , MAPD:75.740349, R_squared:-4.685367  
	Validation = MSE:63.694977 , RMSE:7.980913 , MAE:5.703745 , MAPD:25.054726, R_squared:-0.146130

2024-03-21 05:08:30,891 Epoch 2/300, Train Loss: 77.947811, Val Loss: 41.931984  
	Train = MSE:80.700783 , RMSE:8.983361 , MAE:7.612027 , MAPD:46.307989, R_squared:-0.396944  
	Validation = MSE:41.931984 , RMSE:6.475491 , MAE:5.624896 , MAPD:33.060856, R_squared:0.245474

2024-03-21 05:08:32,755 Epoch 3/300, Train Loss: 52.726658, Val Loss: 39.769394  
	Train = MSE:51.339275 , RMSE:7.165143 , MAE:5.434668 , MAPD:25.628081, R_squared:0.111308  
	Validation = MSE:39.769394 , RMSE:6.306298 , MAE:4.682402 , MAPD:22.134709, R_squared:0.284388

2024-03-21 05:08:34,676 Epoch 4/300, Train Loss: 33.641794, Val Loss: 32.682705  
	Train = MSE:33.420818 , RMSE:5.781074 , MAE:4.793536 , MAPD:27.309757, R_squared:0.421480  
	Validation = MSE:32.682709 , RMSE:5.716879 , MAE:5.006528 , MAPD:32.905425, R_squared:0.411906

2024-03-21 05:08:36,341 Epoch 5/300, Train Loss: 22.910927, Val Loss: 18.548988  
	Train = MSE:23.369671 , RMSE:4.834219 , MAE:4.030901 , MAPD:23.651308, R_squared:0.595467  
	Validation = MSE:18.548990 , RMSE:4.306854 , MAE:3.392109 , MAPD:17.234471, R_squared:0.666229

2024-03-21 05:08:38,012 Epoch 6/300, Train Loss: 13.915778, Val Loss: 11.826707  
	Train = MSE:14.447970 , RMSE:3.801049 , MAE:3.057468 , MAPD:17.121501, R_squared:0.749903  
	Validation = MSE:11.826705 , RMSE:3.438998 , MAE:2.832546 , MAPD:19.347155, R_squared:0.787190

2024-03-21 05:08:39,684 Epoch 7/300, Train Loss: 8.016770, Val Loss: 5.879586  
	Train = MSE:8.245461 , RMSE:2.871491 , MAE:2.307966 , MAPD:14.764770, R_squared:0.857270  
	Validation = MSE:5.879586 , RMSE:2.424786 , MAE:1.983385 , MAPD:11.144519, R_squared:0.894202

2024-03-21 05:08:41,354 Epoch 8/300, Train Loss: 4.538303, Val Loss: 4.133692  
	Train = MSE:4.708438 , RMSE:2.169894 , MAE:1.731964 , MAPD:10.174599, R_squared:0.918496  
	Validation = MSE:4.133692 , RMSE:2.033148 , MAE:1.567807 , MAPD:9.643365, R_squared:0.925618

2024-03-21 05:08:43,550 Epoch 9/300, Train Loss: 3.609999, Val Loss: 3.169955  
	Train = MSE:3.643112 , RMSE:1.908694 , MAE:1.530974 , MAPD:8.651433, R_squared:0.936937  
	Validation = MSE:3.169955 , RMSE:1.780437 , MAE:1.465908 , MAPD:8.061895, R_squared:0.942960

