2024-03-21 07:27:29,045 train batches in dataset: 50
2024-03-21 07:27:29,046 val batches in dataset: 7
2024-03-21 07:27:29,046 test batches in dataset: 7
2024-03-21 07:27:29,057 Trainable parameter: net_core.0.weight - size: torch.Size([256, 35])
2024-03-21 07:27:29,060 Trainable parameter: net_core.0.bias - size: torch.Size([256])
2024-03-21 07:27:29,063 Trainable parameter: net_core.1.weight - size: torch.Size([128, 256])
2024-03-21 07:27:29,068 Trainable parameter: net_core.1.bias - size: torch.Size([128])
2024-03-21 07:27:29,070 Trainable parameter: net_core.2.weight - size: torch.Size([64, 128])
2024-03-21 07:27:29,076 Trainable parameter: net_core.2.bias - size: torch.Size([64])
2024-03-21 07:27:29,080 Trainable parameter: net_core.3.weight - size: torch.Size([16, 64])
2024-03-21 07:27:29,081 Trainable parameter: net_core.3.bias - size: torch.Size([16])
2024-03-21 07:27:29,081 Trainable parameter: net_core.4.weight - size: torch.Size([1, 16])
2024-03-21 07:27:29,081 Trainable parameter: net_core.4.bias - size: torch.Size([1])
2024-03-21 07:27:29,082 Number of trainable parameters: 51425
2024-03-21 07:27:29,082 Number of non-trainable parameters: 0
2024-03-21 07:27:32,306 Epoch 1/300, Train Loss: 517.869965, Val Loss: 487.944672  
	Train = MSE:517.853210 , RMSE:22.756388 , MAE:21.464481 , MAPD:104.749843, R_squared:-7.964127  
	Validation = MSE:481.194885 , RMSE:21.936155 , MAE:20.647408 , MAPD:102.916370, R_squared:-7.658642

2024-03-21 07:27:35,757 Epoch 2/300, Train Loss: 490.806215, Val Loss: 463.588056  
	Train = MSE:490.803497 , RMSE:22.154085 , MAE:20.827011 , MAPD:101.233433, R_squared:-7.495892  
	Validation = MSE:456.979492 , RMSE:21.377079 , MAE:20.056438 , MAPD:99.606044, R_squared:-7.222908

2024-03-21 07:27:37,848 Epoch 3/300, Train Loss: 466.628301, Val Loss: 440.559819  
	Train = MSE:466.608154 , RMSE:21.601114 , MAE:20.243317 , MAPD:98.042504, R_squared:-7.077066  
	Validation = MSE:434.071838 , RMSE:20.834391 , MAE:19.478687 , MAPD:96.365187, R_squared:-6.810707

2024-03-21 07:27:40,842 Epoch 4/300, Train Loss: 447.159856, Val Loss: 426.796273  
	Train = MSE:447.167694 , RMSE:21.146339 , MAE:19.745289 , MAPD:95.239705, R_squared:-6.740549  
	Validation = MSE:420.365936 , RMSE:20.502827 , MAE:19.106220 , MAPD:94.185369, R_squared:-6.564082

2024-03-21 07:27:43,849 Epoch 5/300, Train Loss: 435.506982, Val Loss: 416.129512  
	Train = MSE:435.530487 , RMSE:20.869368 , MAE:19.442959 , MAPD:93.541457, R_squared:-6.539106  
	Validation = MSE:409.763824 , RMSE:20.242624 , MAE:18.827297 , MAPD:92.615664, R_squared:-6.373308

2024-03-21 07:27:46,827 Epoch 6/300, Train Loss: 424.856800, Val Loss: 406.120270  
	Train = MSE:424.833588 , RMSE:20.611492 , MAE:19.166193 , MAPD:92.013523, R_squared:-6.353942  
	Validation = MSE:399.800751 , RMSE:19.995018 , MAE:18.560963 , MAPD:91.116505, R_squared:-6.194031

2024-03-21 07:27:49,825 Epoch 7/300, Train Loss: 415.244977, Val Loss: 396.967739  
	Train = MSE:415.242340 , RMSE:20.377497 , MAE:18.915340 , MAPD:90.634081, R_squared:-6.187916  
	Validation = MSE:390.700775 , RMSE:19.766151 , MAE:18.316801 , MAPD:89.753402, R_squared:-6.030287

2024-03-21 07:27:52,452 Epoch 8/300, Train Loss: 405.694887, Val Loss: 387.508087  
