2024-03-21 03:48:24,862 train batches in dataset: 1600
2024-03-21 03:48:24,862 val batches in dataset: 200
2024-03-21 03:48:24,862 test batches in dataset: 200
2024-03-21 03:48:24,884 Trainable parameter: net_core.0.weight - size: torch.Size([256, 35])
2024-03-21 03:48:24,892 Trainable parameter: net_core.0.bias - size: torch.Size([256])
2024-03-21 03:48:24,897 Trainable parameter: net_core.1.weight - size: torch.Size([128, 256])
2024-03-21 03:48:24,901 Trainable parameter: net_core.1.bias - size: torch.Size([128])
2024-03-21 03:48:24,909 Trainable parameter: net_core.2.weight - size: torch.Size([64, 128])
2024-03-21 03:48:24,917 Trainable parameter: net_core.2.bias - size: torch.Size([64])
2024-03-21 03:48:24,922 Trainable parameter: net_core.3.weight - size: torch.Size([16, 64])
2024-03-21 03:48:24,923 Trainable parameter: net_core.3.bias - size: torch.Size([16])
2024-03-21 03:48:24,924 Trainable parameter: net_core.4.weight - size: torch.Size([1, 16])
2024-03-21 03:48:24,924 Trainable parameter: net_core.4.bias - size: torch.Size([1])
2024-03-21 03:48:24,924 Number of trainable parameters: 51425
2024-03-21 03:48:24,924 Number of non-trainable parameters: 0
2024-03-21 03:50:31,123 Epoch 1/300, Train Loss: 5.379121, Val Loss: 0.967334  
	Train = MSE:5.378036 , RMSE:2.319059 , MAE:1.228724 , MAPD:6.345252, R_squared:0.906905  
	Validation = MSE:0.967334 , RMSE:0.983532 , MAE:0.738202 , MAPD:3.554028, R_squared:0.982594

2024-03-21 03:52:48,112 Epoch 2/300, Train Loss: 1.066706, Val Loss: 0.499793  
	Train = MSE:1.067039 , RMSE:1.032976 , MAE:0.751702 , MAPD:3.821162, R_squared:0.981529  
	Validation = MSE:0.499793 , RMSE:0.706961 , MAE:0.614566 , MAPD:3.294363, R_squared:0.991007

2024-03-21 03:54:42,670 Epoch 3/300, Train Loss: 0.525195, Val Loss: 0.512185  
	Train = MSE:0.525355 , RMSE:0.724814 , MAE:0.546131 , MAPD:2.808802, R_squared:0.990906  
	Validation = MSE:0.512185 , RMSE:0.715671 , MAE:0.599138 , MAPD:2.974181, R_squared:0.990784

2024-03-21 03:56:39,710 Epoch 4/300, Train Loss: 0.864263, Val Loss: 0.286459  
	Train = MSE:0.864263 , RMSE:0.929657 , MAE:0.623337 , MAPD:3.158565, R_squared:0.985039  
	Validation = MSE:0.286459 , RMSE:0.535218 , MAE:0.456005 , MAPD:2.482494, R_squared:0.994845

2024-03-21 03:58:31,098 Epoch 5/300, Train Loss: 0.292007, Val Loss: 0.126110  
	Train = MSE:0.292090 , RMSE:0.540454 , MAE:0.408830 , MAPD:2.120128, R_squared:0.994944  
	Validation = MSE:0.126110 , RMSE:0.355120 , MAE:0.252109 , MAPD:1.318451, R_squared:0.997731

2024-03-21 04:00:21,028 Epoch 6/300, Train Loss: 0.355991, Val Loss: 0.221428  
	Train = MSE:0.355703 , RMSE:0.596409 , MAE:0.453477 , MAPD:2.336867, R_squared:0.993843  
	Validation = MSE:0.221428 , RMSE:0.470561 , MAE:0.409720 , MAPD:2.280483, R_squared:0.996016

2024-03-21 04:02:30,939 Epoch 7/300, Train Loss: 0.370765, Val Loss: 0.471271  
	Train = MSE:0.370877 , RMSE:0.608997 , MAE:0.448176 , MAPD:2.279882, R_squared:0.993580  
	Validation = MSE:0.471271 , RMSE:0.686491 , MAE:0.587613 , MAPD:2.962302, R_squared:0.991520

2024-03-21 04:04:39,125 Epoch 8/300, Train Loss: 0.354254, Val Loss: 0.209808  
	Train = MSE:0.354053 , RMSE:0.595024 , MAE:0.435039 , MAPD:2.242127, R_squared:0.993871  
	Validation = MSE:0.209808 , RMSE:0.458048 , MAE:0.383727 , MAPD:2.238275, R_squared:0.996225

2024-03-21 04:06:49,707 Epoch 9/300, Train Loss: 0.266188, Val Loss: 0.227992  
	Train = MSE:0.266134 , RMSE:0.515882 , MAE:0.385336 , MAPD:1.969570, R_squared:0.995393  
	Validation = MSE:0.227993 , RMSE:0.477486 , MAE:0.426723 , MAPD:2.375686, R_squared:0.995897

2024-03-21 04:09:10,716 Epoch 10/300, Train Loss: 0.332711, Val Loss: 0.112715  
	Train = MSE:0.332807 , RMSE:0.576894 , MAE:0.410703 , MAPD:2.083188, R_squared:0.994239  
	Validation = MSE:0.112715 , RMSE:0.335730 , MAE:0.263410 , MAPD:1.382668, R_squared:0.997972

2024-03-21 04:11:28,212 Epoch 11/300, Train Loss: 0.214369, Val Loss: 0.531616  
	Train = MSE:0.214215 , RMSE:0.462834 , MAE:0.345498 , MAPD:1.769091, R_squared:0.996292  
	Validation = MSE:0.531616 , RMSE:0.729120 , MAE:0.665302 , MAPD:4.000589, R_squared:0.990434

2024-03-21 04:13:40,002 Epoch 12/300, Train Loss: 0.240364, Val Loss: 0.161949  
	Train = MSE:0.240018 , RMSE:0.489916 , MAE:0.363331 , MAPD:1.834566, R_squared:0.995845  
	Validation = MSE:0.161949 , RMSE:0.402429 , MAE:0.333130 , MAPD:2.049647, R_squared:0.997086

2024-03-21 04:15:56,952 Epoch 13/300, Train Loss: 0.203136, Val Loss: 0.238687  
	Train = MSE:0.203186 , RMSE:0.450761 , MAE:0.333915 , MAPD:1.710926, R_squared:0.996483  
	Validation = MSE:0.238687 , RMSE:0.488556 , MAE:0.421270 , MAPD:2.486589, R_squared:0.995705

2024-03-21 04:18:01,970 Epoch 14/300, Train Loss: 0.232172, Val Loss: 0.159990  
	Train = MSE:0.232171 , RMSE:0.481841 , MAE:0.367907 , MAPD:1.872245, R_squared:0.995981  
	Validation = MSE:0.159990 , RMSE:0.399987 , MAE:0.298714 , MAPD:1.522945, R_squared:0.997121

2024-03-21 04:20:06,358 Epoch 15/300, Train Loss: 0.256874, Val Loss: 0.084269  
	Train = MSE:0.256910 , RMSE:0.506863 , MAE:0.351766 , MAPD:1.795170, R_squared:0.995553  
	Validation = MSE:0.084269 , RMSE:0.290291 , MAE:0.225530 , MAPD:1.308947, R_squared:0.998484

2024-03-21 04:22:12,680 Epoch 16/300, Train Loss: 0.267734, Val Loss: 0.079852  
	Train = MSE:0.267818 , RMSE:0.517511 , MAE:0.371702 , MAPD:1.880359, R_squared:0.995364  
	Validation = MSE:0.079852 , RMSE:0.282581 , MAE:0.217919 , MAPD:1.116501, R_squared:0.998563

2024-03-21 04:24:22,300 Epoch 17/300, Train Loss: 0.198999, Val Loss: 0.078205  
	Train = MSE:0.198944 , RMSE:0.446032 , MAE:0.327983 , MAPD:1.671533, R_squared:0.996556  
	Validation = MSE:0.078205 , RMSE:0.279651 , MAE:0.214548 , MAPD:1.207210, R_squared:0.998593

2024-03-21 04:26:31,974 Epoch 18/300, Train Loss: 0.243051, Val Loss: 0.077999  
	Train = MSE:0.243097 , RMSE:0.493049 , MAE:0.347705 , MAPD:1.775128, R_squared:0.995792  
	Validation = MSE:0.077999 , RMSE:0.279284 , MAE:0.207314 , MAPD:1.076243, R_squared:0.998596

2024-03-21 04:28:35,355 Epoch 19/300, Train Loss: 0.293839, Val Loss: 0.192407  
	Train = MSE:0.293877 , RMSE:0.542104 , MAE:0.377503 , MAPD:1.890537, R_squared:0.994913  
	Validation = MSE:0.192407 , RMSE:0.438642 , MAE:0.352719 , MAPD:1.778763, R_squared:0.996538

2024-03-21 04:30:40,382 Epoch 20/300, Train Loss: 0.158733, Val Loss: 0.213020  
	Train = MSE:0.158781 , RMSE:0.398473 , MAE:0.293584 , MAPD:1.489223, R_squared:0.997251  
	Validation = MSE:0.213020 , RMSE:0.461541 , MAE:0.327334 , MAPD:1.489832, R_squared:0.996167

2024-03-21 04:32:47,541 Epoch 21/300, Train Loss: 0.193558, Val Loss: 0.105851  
	Train = MSE:0.193618 , RMSE:0.440020 , MAE:0.328661 , MAPD:1.678444, R_squared:0.996648  
	Validation = MSE:0.105851 , RMSE:0.325347 , MAE:0.261243 , MAPD:1.394942, R_squared:0.998095

2024-03-21 04:34:57,210 Epoch 22/300, Train Loss: 0.198097, Val Loss: 0.129877  
	Train = MSE:0.198157 , RMSE:0.445148 , MAE:0.318940 , MAPD:1.609804, R_squared:0.996570  
