2024-03-21 05:39:53,896 train batches in dataset: 800
2024-03-21 05:39:53,897 val batches in dataset: 100
2024-03-21 05:39:53,897 test batches in dataset: 100
2024-03-21 05:39:53,909 Trainable parameter: net_core.0.weight - size: torch.Size([256, 35])
2024-03-21 05:39:53,913 Trainable parameter: net_core.0.bias - size: torch.Size([256])
2024-03-21 05:39:53,917 Trainable parameter: net_core.1.weight - size: torch.Size([128, 256])
2024-03-21 05:39:53,920 Trainable parameter: net_core.1.bias - size: torch.Size([128])
2024-03-21 05:39:53,923 Trainable parameter: net_core.2.weight - size: torch.Size([64, 128])
2024-03-21 05:39:53,927 Trainable parameter: net_core.2.bias - size: torch.Size([64])
2024-03-21 05:39:53,931 Trainable parameter: net_core.3.weight - size: torch.Size([16, 64])
2024-03-21 05:39:53,932 Trainable parameter: net_core.3.bias - size: torch.Size([16])
2024-03-21 05:39:53,932 Trainable parameter: net_core.4.weight - size: torch.Size([1, 16])
2024-03-21 05:39:53,932 Trainable parameter: net_core.4.bias - size: torch.Size([1])
2024-03-21 05:39:53,933 Number of trainable parameters: 51425
2024-03-21 05:39:53,933 Number of non-trainable parameters: 0
2024-03-21 05:41:05,928 Epoch 1/300, Train Loss: 30.277905, Val Loss: 0.520339  
	Train = MSE:30.287224 , RMSE:5.503383 , MAE:2.949404 , MAPD:15.559220, R_squared:0.475723  
	Validation = MSE:0.520339 , RMSE:0.721345 , MAE:0.567846 , MAPD:2.933131, R_squared:0.990637

2024-03-21 05:42:09,188 Epoch 2/300, Train Loss: 0.265731, Val Loss: 0.161972  
	Train = MSE:0.265696 , RMSE:0.515457 , MAE:0.389912 , MAPD:2.068114, R_squared:0.995401  
	Validation = MSE:0.161972 , RMSE:0.402458 , MAE:0.293525 , MAPD:1.562021, R_squared:0.997085

2024-03-21 05:43:13,278 Epoch 3/300, Train Loss: 0.172179, Val Loss: 0.192623  
	Train = MSE:0.172126 , RMSE:0.414880 , MAE:0.315219 , MAPD:1.667531, R_squared:0.997020  
	Validation = MSE:0.192623 , RMSE:0.438888 , MAE:0.369471 , MAPD:2.213012, R_squared:0.996534

2024-03-21 05:44:19,849 Epoch 4/300, Train Loss: 0.147607, Val Loss: 0.124548  
	Train = MSE:0.147554 , RMSE:0.384128 , MAE:0.291793 , MAPD:1.549985, R_squared:0.997446  
	Validation = MSE:0.124548 , RMSE:0.352913 , MAE:0.257650 , MAPD:1.338482, R_squared:0.997759

2024-03-21 05:45:26,012 Epoch 5/300, Train Loss: 0.132903, Val Loss: 0.181037  
	Train = MSE:0.132841 , RMSE:0.364473 , MAE:0.267464 , MAPD:1.418287, R_squared:0.997701  
	Validation = MSE:0.181037 , RMSE:0.425484 , MAE:0.340271 , MAPD:1.718761, R_squared:0.996742

2024-03-21 05:46:33,253 Epoch 6/300, Train Loss: 0.141081, Val Loss: 0.077873  
	Train = MSE:0.141115 , RMSE:0.375653 , MAE:0.282547 , MAPD:1.506431, R_squared:0.997557  
	Validation = MSE:0.077873 , RMSE:0.279057 , MAE:0.196972 , MAPD:1.118338, R_squared:0.998599

2024-03-21 05:47:39,216 Epoch 7/300, Train Loss: 0.119563, Val Loss: 0.073287  
	Train = MSE:0.119576 , RMSE:0.345798 , MAE:0.262516 , MAPD:1.409009, R_squared:0.997930  
	Validation = MSE:0.073287 , RMSE:0.270716 , MAE:0.201085 , MAPD:1.218791, R_squared:0.998681

2024-03-21 05:48:48,748 Epoch 8/300, Train Loss: 0.108273, Val Loss: 0.113012  
	Train = MSE:0.108295 , RMSE:0.329082 , MAE:0.244714 , MAPD:1.307650, R_squared:0.998125  
	Validation = MSE:0.113012 , RMSE:0.336173 , MAE:0.253689 , MAPD:1.249163, R_squared:0.997966

2024-03-21 05:49:52,877 Epoch 9/300, Train Loss: 0.108126, Val Loss: 0.076241  
	Train = MSE:0.108149 , RMSE:0.328860 , MAE:0.251762 , MAPD:1.347180, R_squared:0.998128  
	Validation = MSE:0.076241 , RMSE:0.276117 , MAE:0.218045 , MAPD:1.228982, R_squared:0.998628

2024-03-21 05:50:59,729 Epoch 10/300, Train Loss: 0.091634, Val Loss: 0.197571  
