2024-03-21 05:53:28,373 train batches in dataset: 25
2024-03-21 05:53:28,373 val batches in dataset: 4
2024-03-21 05:53:28,373 test batches in dataset: 4
2024-03-21 05:53:28,385 Trainable parameter: net_core.0.weight - size: torch.Size([256, 35])
2024-03-21 05:53:28,387 Trainable parameter: net_core.0.bias - size: torch.Size([256])
2024-03-21 05:53:28,392 Trainable parameter: net_core.1.weight - size: torch.Size([128, 256])
2024-03-21 05:53:28,398 Trainable parameter: net_core.1.bias - size: torch.Size([128])
2024-03-21 05:53:28,403 Trainable parameter: net_core.2.weight - size: torch.Size([64, 128])
2024-03-21 05:53:28,408 Trainable parameter: net_core.2.bias - size: torch.Size([64])
2024-03-21 05:53:28,411 Trainable parameter: net_core.3.weight - size: torch.Size([16, 64])
2024-03-21 05:53:28,412 Trainable parameter: net_core.3.bias - size: torch.Size([16])
2024-03-21 05:53:28,412 Trainable parameter: net_core.4.weight - size: torch.Size([1, 16])
2024-03-21 05:53:28,412 Trainable parameter: net_core.4.bias - size: torch.Size([1])
2024-03-21 05:53:28,413 Number of trainable parameters: 51425
2024-03-21 05:53:28,413 Number of non-trainable parameters: 0
2024-03-21 05:53:31,265 Epoch 1/300, Train Loss: 391.661804, Val Loss: 301.438309  
	Train = MSE:391.684357 , RMSE:19.791018 , MAE:18.243032 , MAPD:87.042189, R_squared:-5.780122  
	Validation = MSE:289.907349 , RMSE:17.026667 , MAE:15.336212 , MAPD:73.024318, R_squared:-4.216605

2024-03-21 05:53:33,849 Epoch 2/300, Train Loss: 214.528952, Val Loss: 108.215368  
	Train = MSE:214.552490 , RMSE:14.647611 , MAE:12.461216 , MAPD:55.441235, R_squared:-2.713940  
	Validation = MSE:100.706894 , RMSE:10.035282 , MAE:7.514429 , MAPD:31.237710, R_squared:-0.812124

2024-03-21 05:53:35,090 Epoch 3/300, Train Loss: 59.376304, Val Loss: 49.416387  
	Train = MSE:59.378105 , RMSE:7.705719 , MAE:6.039081 , MAPD:29.830803, R_squared:-0.027845  
	Validation = MSE:46.897549 , RMSE:6.848178 , MAE:6.075152 , MAPD:36.767608, R_squared:0.156124

2024-03-21 05:53:36,326 Epoch 4/300, Train Loss: 41.020562, Val Loss: 38.406517  
	Train = MSE:41.021755 , RMSE:6.404823 , MAE:5.428915 , MAPD:30.541155, R_squared:0.289906  
	Validation = MSE:35.649250 , RMSE:5.970699 , MAE:4.986465 , MAPD:27.921225, R_squared:0.358526

2024-03-21 05:53:37,562 Epoch 5/300, Train Loss: 33.176058, Val Loss: 30.939326  
	Train = MSE:33.177685 , RMSE:5.760007 , MAE:4.852655 , MAPD:27.042184, R_squared:0.425689  
	Validation = MSE:29.118349 , RMSE:5.396142 , MAE:4.628861 , MAPD:26.825634, R_squared:0.476043

2024-03-21 05:53:38,756 Epoch 6/300, Train Loss: 25.932892, Val Loss: 22.903705  
	Train = MSE:25.934174 , RMSE:5.092561 , MAE:4.320604 , MAPD:24.524142, R_squared:0.551075  
	Validation = MSE:21.758316 , RMSE:4.664581 , MAE:3.995408 , MAPD:23.362192, R_squared:0.608480

2024-03-21 05:53:39,974 Epoch 7/300, Train Loss: 18.431245, Val Loss: 15.040823  
	Train = MSE:18.432472 , RMSE:4.293305 , MAE:3.629885 , MAPD:20.947128, R_squared:0.680931  
	Validation = MSE:14.490371 , RMSE:3.806622 , MAE:3.239236 , MAPD:19.300664, R_squared:0.739260

2024-03-21 05:53:41,207 Epoch 8/300, Train Loss: 11.566198, Val Loss: 8.505885  
	Train = MSE:11.567609 , RMSE:3.401119 , MAE:2.825991 , MAPD:16.778667, R_squared:0.799763  
